Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,Signal27,Signal28,Signal29,Signal30,Signal31,Signal32,Signal33,Signal34,Signal35,Signal36,entity,timestamp
60.405045,41.00862,57.027687,1.1700618,11.372854,5.501865,62.3,5.934215,3.9335368,304.36255,64.93701,43.75906,78.6,287.0,164.51134,58.507824,61.742764,305.7,302.0,38.750286,55.7,4.3404546,93.13344,6.3411326,56.2,7.0193286,64.29389,15.667201,156.76738,300.7,17.124449,9.138691,104.097046,200.0,63.69116,58.59429,Equipment1,2018-01-30 00:38:00
60.405045,40.997177,57.022602,1.1700618,11.378347,5.5527296,62.4,5.9426923,3.9674466,304.72876,64.93193,43.7171,78.6,287.1,164.32059,58.49765,61.73768,305.6,301.9,38.738842,55.9,4.306545,93.221176,6.3919973,56.4,7.1888776,64.29771,15.632868,156.71779,301.0,17.633097,8.858935,104.35264,200.0,63.698788,58.604465,Equipment1,2018-01-30 00:39:00
60.410133,41.08873,57.01243,1.1700618,11.343556,5.451,62.1,5.8748727,4.0013566,305.4612,64.93193,43.648434,78.7,287.0,164.17944,58.49765,61.732594,305.9,302.1,38.700695,55.7,4.3404546,92.862595,6.2224483,56.0,6.917599,64.29771,15.594721,156.69872,300.5,17.361818,9.469312,104.66163,200.0,63.698788,58.59429,Equipment1,2018-01-30 00:40:00
60.405045,41.09636,57.01243,1.1700618,11.295949,5.48491,61.8,5.959647,4.0013566,305.22318,64.93193,43.698025,78.8,286.9,164.3244,58.50274,61.732594,306.0,302.5,38.74647,55.7,4.306545,92.53452,6.4513392,55.8,7.0532384,64.29771,15.640497,156.75212,300.2,17.395727,9.104781,104.871445,200.0,63.698788,58.589207,Equipment1,2018-01-30 00:41:00
60.394875,41.004807,57.00734,1.1700618,11.377432,5.5527296,62.2,5.98508,4.0013566,304.72876,64.92684,43.675137,78.6,287.0,164.51134,58.49765,61.732594,305.7,302.0,38.735027,55.8,4.3404546,91.851685,6.3750424,56.2,7.087148,64.28626,15.747311,156.80171,300.8,17.463547,9.138691,104.936295,200.0,63.698788,58.59429,Equipment1,2018-01-30 00:42:00
60.3847,41.054398,56.99717,1.1700618,11.432364,5.5272975,62.6,5.857918,3.9335368,304.62805,64.92175,43.663692,78.5,287.2,164.38162,58.492565,61.727505,305.5,301.6,38.69688,55.9,4.3404546,92.20645,6.290268,56.6,7.2227874,64.29771,15.819791,156.73305,301.2,17.15836,8.918278,104.863815,200.0,63.698788,58.58412,Equipment1,2018-01-30 00:43:00
60.379612,41.09636,56.99717,1.1700618,11.43328,5.5272975,62.5,5.934215,3.9674466,304.76538,64.91158,43.625546,78.5,287.0,164.06119,58.477306,61.71733,305.6,301.7,38.651104,55.8,4.306545,92.75197,6.459817,56.6,7.256697,64.28626,15.823606,156.63005,301.1,17.633097,9.24042,104.81804,200.0,63.698788,58.58412,Equipment1,2018-01-30 00:44:00
60.374527,41.004807,56.986996,1.1709774,11.437858,5.5272975,62.4,5.9257374,4.0013566,305.1591,64.901405,43.572136,78.6,287.0,163.83612,58.467133,61.70716,305.7,301.9,38.69688,55.8,4.306545,92.40864,6.2224483,56.5,7.1888776,64.28245,15.781644,156.54231,301.0,17.565277,9.053917,105.14992,200.0,63.649197,58.568863,Equipment1,2018-01-30 00:45:00
60.369442,40.936142,56.971737,1.1709774,11.423209,5.5442524,62.4,5.976602,3.9674466,305.12247,64.901405,43.545433,78.6,287.0,163.83612,58.47222,61.702072,305.7,301.8,38.69688,55.7,4.3404546,92.08438,6.3411326,56.4,7.087148,64.27863,15.82742,156.58809,300.9,17.463547,9.130214,105.38262,200.0,63.641567,58.563774,Equipment1,2018-01-30 00:46:00
60.364353,40.939957,56.971737,1.1709774,11.4341955,5.5272975,62.4,5.976602,3.9335368,304.92102,64.901405,43.56832,78.5,287.0,163.8323,58.467133,61.702072,305.6,301.8,38.620583,55.8,4.3404546,92.55741,6.332655,56.4,7.1888776,64.29771,15.842679,156.5385,301.1,17.09054,9.265853,105.539024,200.0,63.698788,58.563774,Equipment1,2018-01-30 00:47:00
