Signal1,Signal2,Signal3,Signal4,Signal5,Signal6,Signal7,Signal8,Signal9,Signal10,Signal11,Signal12,Signal13,Signal14,Signal15,Signal16,Signal17,Signal18,Signal19,Signal20,Signal21,Signal22,Signal23,Signal24,Signal25,Signal26,entity,timestamp
59.097843,37.399864,54.062325,1.3522545,11.8791485,5.3238387,0.0,7.816209,3.1875212,305.08585,63.990948,40.108337,78.5,286.1,161.79141,56.99208,60.277885,304.8,300.3,34.897385,53.6,4.3404546,65.55276,8.070533,53.3,8.51136,Equipment1,2018-08-07 00:42:00
59.102932,37.34264,54.05724,1.3522545,11.799497,5.281451,0.0,7.8331637,3.221431,305.31473,63.980774,40.127415,78.7,286.1,161.73419,56.986996,60.28806,305.1,300.6,34.897385,53.6,4.306545,65.5642,8.121397,52.8,8.61309,Equipment1,2018-08-07 00:43:00
59.108017,37.41131,54.092842,1.351339,11.826962,5.408613,0.0,7.909461,3.1536114,304.44495,63.98586,40.074005,78.4,286.2,161.86389,56.99208,60.277885,304.8,300.3,34.89357,53.6,4.306545,65.568016,8.07901,53.1,8.680909,Equipment1,2018-08-07 00:44:00
59.108017,37.491417,54.103016,1.351339,11.912108,5.5612073,0.0,8.180739,3.1875212,304.11536,63.996033,40.161747,78.4,285.5,161.78378,56.99717,60.28806,304.8,300.3,34.870678,53.2,4.3404546,65.510796,8.443541,53.3,8.57918,Equipment1,2018-08-07 00:45:00
59.143623,37.331196,54.15388,1.351339,11.886473,5.6968465,0.0,8.273992,3.221431,304.82947,64.0062,40.13123,78.6,285.9,161.738,57.032772,60.303318,305.0,300.5,34.897385,53.4,4.272635,65.5375,8.935232,53.0,8.680909,Equipment1,2018-08-07 00:46:00
59.163967,37.296864,54.16405,1.351339,11.693294,5.645982,0.0,8.265513,3.221431,305.81827,64.02146,40.112152,78.9,286.1,161.73038,57.04803,60.31349,305.3,301.0,34.97368,53.6,4.272635,65.52987,9.257376,52.3,8.680909,Equipment1,2018-08-07 00:47:00
59.163967,37.32738,54.179314,1.351339,11.6914625,5.7392335,0.0,8.206172,3.221431,304.7837,64.02146,40.161747,78.7,286.2,162.18814,57.078552,60.308403,305.1,300.9,34.912643,53.6,4.306545,65.518425,8.706341,52.5,8.409631,Equipment1,2018-08-07 00:48:00
59.163967,37.483788,54.16405,1.3504235,11.8645,5.645982,0.0,8.087487,3.221431,304.4358,64.01129,40.234226,78.4,286.0,162.39795,57.078552,60.298233,304.8,300.5,34.97368,53.5,4.3404546,65.50698,8.646999,53.2,8.51136,Equipment1,2018-08-07 00:49:00
59.14871,37.47616,54.1081,1.3504235,11.935912,5.654459,0.0,8.095964,3.2892506,305.49783,64.00112,40.249485,78.6,286.1,162.0203,57.05312,60.282974,304.9,300.3,34.996567,53.6,4.306545,65.47265,8.80807,53.2,8.47745,Equipment1,2018-08-07 00:50:00
59.14871,37.50286,54.11319,1.3504235,11.799497,5.6798916,0.0,8.11292,3.2892506,304.68298,64.01129,40.20371,78.7,285.9,161.70367,57.05312,60.277885,305.0,300.7,34.996567,53.5,4.306545,65.49172,8.562224,52.9,8.443541,Equipment1,2018-08-07 00:51:00
59.128365,37.521935,54.09793,1.3504235,11.895628,5.654459,0.0,8.062055,3.2553408,304.97595,63.996033,40.249485,78.5,286.0,161.87915,57.04803,60.2728,304.9,300.4,34.996567,53.6,4.306545,65.49935,8.782639,53.2,8.47745,Equipment1,2018-08-07 00:52:00
59.128365,37.43801,54.087757,1.3504235,11.838864,5.612072,0.0,8.002713,3.1875212,305.3422,63.990948,40.241856,78.6,286.1,161.68842,57.04803,60.277885,305.0,300.5,35.00801,53.6,4.306545,65.53368,8.316379,52.9,8.409631,Equipment1,2018-08-07 00:53:00
59.13345,37.50286,54.103016,1.3504235,11.679561,5.620549,0.0,8.028145,3.1875212,305.4612,63.990948,40.199894,78.7,286.2,161.87152,57.058205,60.2728,305.1,300.9,34.996567,53.6,4.272635,65.590904,8.435062,52.6,8.680909,Equipment1,2018-08-07 00:54:00
59.138535,37.483788,54.11319,1.3504235,11.884642,5.4933877,0.0,7.926416,3.1875212,304.41748,63.990948,40.291447,78.2,286.2,162.19958,57.06838,60.277885,304.4,300.1,34.996567,53.6,4.3743644,65.57183,8.460495,53.6,8.680909,Equipment1,2018-08-07 00:55:00
59.128365,37.47616,54.082672,1.3504235,11.887388,5.6629367,0.0,7.943371,3.221431,305.29642,63.98586,40.272373,78.7,286.1,161.69986,57.042946,60.2728,305.1,300.5,35.061417,53.6,4.306545,65.60998,8.621567,53.1,8.47745,Equipment1,2018-08-07 00:56:00
59.123276,37.52575,54.077583,1.3495079,11.978943,5.578162,0.0,7.934893,3.2553408,304.54565,63.980774,40.306705,78.5,286.0,161.47096,57.03786,60.2728,304.8,300.3,35.011826,53.4,4.3404546,65.60616,8.01119,53.6,8.51136,Equipment1,2018-08-07 00:57:00
59.123276,37.58297,54.0725,1.3504235,11.8113985,5.645982,0.0,8.053577,3.2553408,305.2781,63.980774,40.26093,78.7,286.0,161.34126,57.04803,60.277885,305.0,300.6,35.084305,53.5,4.3404546,65.57946,8.435062,53.0,8.57918,Equipment1,2018-08-07 00:58:00
59.108017,37.52575,54.077583,1.3495079,11.992676,5.501865,0.0,7.909461,3.3231604,304.41748,63.9706,40.20371,78.3,286.0,161.65408,57.042946,60.26771,304.6,300.1,35.046158,53.6,4.306545,65.50698,8.358766,53.8,8.57918,Equipment1,2018-08-07 00:59:00
59.108017,37.586784,54.062325,1.3495079,11.901121,5.5272975,0.0,7.917938,3.3231604,305.04007,63.960426,40.18082,78.4,286.1,161.23445,57.022602,60.262627,304.8,300.2,35.07286,53.6,4.306545,65.445946,7.943371,53.4,8.307901,Equipment1,2018-08-07 01:00:00
59.097843,37.621117,54.047066,1.3495079,12.022888,5.5696845,0.0,7.934893,3.2892506,305.08585,63.95534,40.26093,78.4,286.1,161.05516,57.01243,60.252453,304.7,300.0,35.076675,53.6,4.306545,65.34676,8.036623,53.8,8.57918,Equipment1,2018-08-07 01:01:00
59.102932,37.602043,54.062325,1.3495079,11.930419,5.501865,0.0,7.934893,3.221431,305.31473,63.945168,40.177006,78.5,286.1,160.90639,57.01243,60.25754,304.8,300.2,35.091934,53.6,4.306545,65.48409,8.392675,53.5,8.307901,Equipment1,2018-08-07 01:02:00
59.102932,37.651638,54.067413,1.3495079,11.925841,5.4933877,0.0,7.926416,3.1875212,304.9851,63.945168,40.169376,78.4,286.1,161.03609,57.017513,60.252453,304.8,300.3,35.09575,53.6,4.306545,65.49935,8.418108,53.5,8.409631,Equipment1,2018-08-07 01:03:00
59.108017,37.697414,54.047066,1.3495079,11.946898,5.425568,0.0,7.951848,3.1536114,305.0309,63.95534,40.13886,78.4,286.1,161.0933,57.017513,60.25754,304.8,300.3,35.099564,53.6,4.306545,65.4345,8.14683,53.6,8.646999,Equipment1,2018-08-07 01:04:00
59.108017,37.682156,54.047066,1.3485924,11.976196,5.4001355,0.0,7.9009833,3.1536114,304.93933,63.965515,40.16556,78.4,286.1,161.05516,57.002254,60.25754,304.7,300.2,35.099564,53.6,4.272635,65.48791,8.392675,53.7,8.443541,Equipment1,2018-08-07 01:05:00
59.113106,37.63638,54.047066,1.3495079,11.906615,5.459478,0.0,7.926416,3.1875212,305.39713,63.9706,40.29526,78.5,286.1,161.07042,57.002254,60.25754,304.9,300.4,35.091934,53.6,4.306545,65.47646,8.282469,53.3,8.47745,Equipment1,2018-08-07 01:06:00
